ticker,year,open_px,close_px,underpricing,ret_30d,ipo_size_m,fed_rate,sic,sector,pe_backed,cohort,cohort_en,log_size,company_age,revenue_ltm,profitable,ret_12m_flag,ipo_date,OfferPrice,Size_Million,Date,FilingUrl,ret_12m,ret_12m.1
PINS,2019,23.75,24.39999961853027,0.2842105062384352,0.0,2068.850625,2.16,7370.0,Tech,1,2019-2021,Low Rate (2019–2021),7.634748478425847,11.0,1142.761,0.0,ok,1970-01-01 01:00:25.569,19.0,1425.0,2019-04-18T17:22:46-04:00,https://www.sec.gov/Archives/edgar/data/1506293/000119312519111067/d697629d424b4.htm,-0.2848360231248828,-0.2848360231248828
REAL,2019,28.0,28.89999961853027,0.4449999809265135,-0.3813148997655281,550.7656,2.16,5900.0,Consumer,1,2019-2021,Low Rate (2019–2021),6.311309310292655,8.0,316.354,0.0,ok,1970-01-01 01:00:25.569,20.0,300.0,2019-06-28T06:07:10-04:00,https://www.sec.gov/Archives/edgar/data/1573221/000119312519184923/d720814d424b4.htm,-0.53633218701019,-0.53633218701019
SNDL,2019,130.1999969482422,84.80000305175781,5.523077157827524,0.03183958550796561,121.2734851574707,2.16,2833.0,Industrials,1,2019-2021,Low Rate (2019–2021),4.798048203082092,13.0,,,ok,1970-01-01 01:00:25.569,13.0,143.0,2019-08-01T11:12:51-04:00,https://www.sec.gov/Archives/edgar/data/1766600/000119312519210209/d720415d424b4.htm,-0.9323113258897556,-0.9323113258897556
PGNY,2019,13.5,15.9399995803833,0.2261538138756385,0.7446675155604773,67.1409,2.16,8090.0,Healthcare,1,2019-2021,Low Rate (2019–2021),4.206793396287782,11.0,65.122,0.0,ok,1970-01-01 01:00:25.569,13.0,130.0,2019-10-25T16:44:36-04:00,https://www.sec.gov/Archives/edgar/data/1551306/000104746919005913/a2239907z424b4.htm,0.7534505331691705,0.7534505331691705
SITM,2019,13.0,13.0,0.0,0.9615384615384616,0.0013,2.16,3674.0,Industrials,1,2019-2021,Low Rate (2019–2021),-4.605170185988091,16.0,28.089,1.0,ok,1970-01-01 01:00:25.569,13.0,55.9,2019-11-21T16:55:16-05:00,https://www.sec.gov/Archives/edgar/data/1451809/000119312519297662/d701682d424b4.htm,5.213076664851262,5.213076664851262
DUO,2019,46800.0,46800.0,3599.0,0.0007692307692307692,10.764,2.16,6500.0,Finance,1,2019-2021,Low Rate (2019–2021),2.37620723286466,8.0,517.027,0.0,ok,1970-01-01 01:00:25.569,13.0,78.0,2019-11-01T16:07:59-04:00,https://www.sec.gov/Archives/edgar/data/1750593/000119312519281942/d731171d424b4.htm,-0.492923093616453,-0.492923093616453
TW,2019,33.16291949584567,34.66328811645508,0.2838254857946325,0.2088800941764475,1083.160643989412,2.16,6200.0,Finance,1,2019-2021,Low Rate (2019–2021),6.987638568401024,21.0,197.308,1.0,ok,1970-01-01 01:00:25.569,27.0,1080.0,2019-04-05T17:24:29-04:00,https://www.sec.gov/Archives/edgar/data/1758730/000114420419018482/tv517881_424b4.htm,0.2850318495871032,0.2850318495871032
PSNL,2019,23.60000038146973,28.48999977111816,0.6758823394775388,-0.4457704426568583,147.9625623916626,2.16,8071.0,Healthcare,1,2019-2021,Low Rate (2019–2021),4.996959284952053,8.0,18.154,0.0,ok,1970-01-01 01:00:25.569,17.0,134.6655,2019-06-20T17:16:54-04:00,https://www.sec.gov/Archives/edgar/data/1527753/000119312519177650/d677649d424b4.htm,-0.5745875751867933,-0.5745875751867933
SPT,2019,18.04999923706055,16.60000038146973,-0.02352938932530999,-0.0331325982994034,98.25336584701537,2.16,7372.0,Tech,1,2019-2021,Low Rate (2019–2021),4.587549508147468,9.0,102.707,0.0,ok,1970-01-01 01:00:25.569,17.0,150.00001,2019-12-13T16:46:12-05:00,https://www.sec.gov/Archives/edgar/data/1517375/000162828019015085/sproutsocial424b4.htm,1.786144514287362,1.786144514287362
GOTU,2019,12.10000038146973,10.47999954223633,-0.001904805501301914,-0.01335872096980674,165.4771852169037,2.16,8200.0,Other,0,2019-2021,Low Rate (2019–2021),5.108833331640128,,303.78,1.0,ok,1970-01-01 01:00:25.569,10.5,207.9,2019-06-06T13:38:15-04:00,https://www.sec.gov/Archives/edgar/data/1768259/000119312519166951/d709082d424b4.htm,2.950381997540103,2.950381997540103
